"","H.eDom","A.FAN","H.FAN","A.SUBTL","H.SUBTL","A.wiki"
"1",76,90,100,96,99,100
"2",98,80,100,68,100,82
"3",79,89,100,94,100,100
"4",71,100,98,77,97,62
"5",87,55,98,62,90,72
"6",85,63,100,62,98,76
"7",60,92,97,67,93,98
"8",66,93,100,65,100,96
"9",78,98,100,73,98,74
"10",92,91,97,74,97,95
"11",94,100,100,89,98,100
"12",63,77,77,79,70,70
"13",86,96,93,86,99,100
"14",59,44,58,78,75,98
"15",52,52,66,63,66,64
"16",82,96,97,78,45,83
"17",72,74,95,76,55,69
"18",96,100,100,94,100,100
"19",83,81,81,60,100,96
"20",85,96,96,92,85,87
"21",62,83,92,90,93,94
"22",84,81,86,99,86,52
"23",77,100,100,90,85,98
"24",89,100,100,97,100,100
"25",82,78,100,52,90,81
"26",86,55,100,77,98,100
"27",41,51,85,44,77,59
"28",54,84,82,55,44,48
"29",67,70,70,73,80,96
"30",63,84,94,68,97,96
"31",88,48,94,52,98,82
"32",96,98,100,70,99,95
"33",97,100,100,77,100,96
"34",82,96,96,81,99,99
"35",94,96,96,78,76,100
"36",71,98,100,92,90,87
"37",68,65,62,83,79,77
"38",63,100,53,65,95,89
"39",79,89,100,89,84,100
"40",95,100,100,89,99,98
"41",96,80,98,87,100,99
"42",90,96,100,85,100,97
"43",78,100,100,81,100,100
"44",87,88,86,72,97,86
"45",65,39,88,60,91,83
"46",97,100,100,86,100,99
"47",64,81,81,80,76,79
"48",90,83,95,73,100,99
"49",80,100,100,94,96,100
"50",72,63,86,82,98,93
"51",91,94,100,92,99,100
"52",91,100,100,92,100,100
"53",98,89,96,62,80,64
"54",92,100,100,89,100,99
"55",86,96,86,78,97,99
"56",96,92,100,94,100,100
"57",75,97,100,65,98,93
"58",82,86,100,88,100,100
"59",71,58,54,50,86,93
"60",96,92,100,89,100,100
"61",95,95,100,59,94,54
"62",95,94,92,53,98,83
"63",83,100,100,90,79,100
"64",66,85,94,92,57,96
"65",71,50,56,58,60,96
"66",66,66,66,59,56,99
"67",87,82,91,53,97,77
"68",89,55,98,57,99,87
"69",87,69,69,77,90,76
"70",87,81,86,92,98,99
"71",60,88,87,60,70,72
"72",96,93,100,55,100,97
"73",71,98,91,87,85,99
"74",66,75,96,79,69,83
"75",96,100,100,98,100,100
"76",68,68,89,80,57,99
"77",96,94,98,90,100,99
"78",67,73,52,71,89,53
"79",86,60,98,87,100,83
"80",89,76,96,80,95,96
"81",95,94,98,95,100,100
"82",59,96,96,49,91,85
"83",92,93,98,88,100,96
"84",78,98,100,68,93,95
"85",67,97,82,87,72,97
"86",80,90,100,75,68,94
"87",85,94,100,83,100,99
"88",83,90,87,89,98,93
"89",59,92,97,76,77,60
"90",81,51,100,83,99,88
"91",85,83,100,91,99,100
"92",83,96,100,90,100,100
"93",70,81,71,69,90,54
"94",56,98,88,82,75,98
"95",82,45,98,59,100,79
"96",64,82,82,91,98,99
"97",58,76,76,59,72,96
"98",69,95,95,93,91,99
"99",83,95,100,72,100,99
"100",77,80,90,86,74,97
"101",79,95,87,61,91,99
"102",83,100,93,92,98,100
"103",81,76,97,88,96,100
"104",59,86,96,51,58,79
"105",59,69,75,87,90,88
"106",71,93,94,63,90,47
"107",88,98,100,85,90,94
"108",92,62,100,82,100,93
"109",97,73,100,85,100,100
"110",98,80,94,83,99,98
"111",88,97,100,81,98,72
"112",73,93,100,54,91,55
"113",79,51,55,76,74,92
"114",95,94,100,85,100,100
"115",75,92,92,66,83,74
"116",74,98,98,84,89,81
"117",75,85,94,56,80,86
"118",56,85,90,74,83,91
"119",74,78,89,93,98,100
"120",83,97,100,80,90,100
"121",65,74,73,77,99,58
"122",64,70,70,63,74,81
"123",81,94,100,61,100,96
"124",84,98,100,56,90,52
"125",73,80,82,75,92,88
"126",69,62,62,43,90,58
"127",75,98,100,59,95,90
"128",65,97,100,81,95,95
"129",88,98,98,80,93,97
"130",73,85,100,84,94,72
"131",73,80,98,72,50,66
"132",69,63,62,58,100,74
"133",98,62,100,76,100,79
"134",83,78,100,78,100,99
"135",75,64,100,75,100,98
"136",89,95,100,85,85,99
"137",81,82,84,51,100,88
"138",63,61,55,83,86,67
"139",84,92,92,82,98,83
"140",67,68,98,88,81,99
"141",86,94,100,77,98,99
"142",77,53,73,55,70,81
"143",60,83,83,77,67,87
"144",80,90,100,59,99,81
"145",82,81,100,74,100,90
"146",88,98,100,92,98,95
"147",93,100,100,93,100,85
"148",97,87,98,90,99,93
"149",86,100,100,84,100,100
"150",98,95,100,94,99,95
"151",63,41,91,80,75,99
"152",82,87,100,91,88,97
"153",81,78,97,92,94,99
"154",97,96,100,91,99,100
"155",67,71,85,89,65,83
"156",65,56,54,79,87,99
"157",84,96,100,92,98,100
"158",65,74,82,61,77,81
"159",91,89,91,85,64,86
"160",85,92,100,92,100,89
"161",82,92,92,57,90,73
"162",62,54,51,54,90,80
"163",96,100,100,87,100,100
"164",81,88,100,51,97,91
"165",69,68,68,67,93,79
"166",77,98,100,91,100,100
"167",74,100,100,87,100,100
"168",95,93,100,88,100,100
"169",78,97,100,95,99,99
"170",83,98,100,95,97,99
"171",98,95,100,88,96,62
"172",93,98,90,87,100,100
"173",79,78,80,71,77,62
"174",70,54,100,88,100,99
"175",64,55,59,95,92,100
"176",76,100,100,88,99,100
"177",83,100,100,92,98,98
"178",52,56,70,52,91,40
"179",94,96,96,82,93,95
"180",70,66,76,73,76,87
"181",79,92,100,54,100,57
"182",95,91,100,89,86,97
"183",97,90,100,81,97,68
"184",82,90,100,95,97,99
"185",92,72,94,56,83,66
"186",95,94,98,92,100,89
"187",73,76,75,83,90,58
"188",76,100,93,81,90,99
"189",95,98,100,89,100,98
"190",98,98,100,95,99,100
"191",79,87,100,68,98,80
"192",86,80,95,68,80,51
"193",96,87,100,65,100,98
"194",69,64,62,79,70,76
"195",94,100,100,57,96,76
"196",90,93,93,70,76,57
"197",60,91,98,96,72,98
"198",91,88,100,58,99,62
"199",69,63,79,68,79,97
"200",78,100,100,51,85,79
"201",93,96,96,93,95,100
"202",91,62,100,88,100,96
"203",99,100,100,94,100,100
"204",58,48,31,78,43,53
"205",79,52,96,79,95,79
"206",77,98,100,61,82,86
"207",98,86,92,89,100,100
"208",88,87,100,78,99,92
"209",75,73,83,89,94,100
"210",88,100,100,85,86,90
"211",63,54,54,65,57,93
"212",83,100,100,86,100,99
"213",68,91,95,81,82,96
"214",74,91,98,68,89,94
"215",60,90,87,88,77,100
"216",64,83,90,89,61,94
"217",51,73,74,88,69,56
"218",48,70,82,38,50,87
"219",43,61,78,66,41,57
"220",62,89,80,93,68,100
"221",51,45,45,59,66,76
"222",83,98,98,84,96,100
"223",53,53,53,67,71,100
"224",91,95,100,86,100,99
"225",72,59,61,81,77,92
"226",68,83,97,59,83,65
"227",82,76,88,53,97,97
"228",70,82,82,57,82,81
"229",75,92,91,79,56,89
"230",83,96,100,53,96,93
"231",54,59,57,73,78,80
"232",97,98,100,90,95,99
"233",64,93,95,91,100,94
"234",82,93,100,45,98,96
"235",84,90,100,93,90,96
"236",75,86,86,93,91,100
"237",80,77,94,83,52,73
"238",94,96,100,87,97,99
"239",67,66,76,73,86,98
"240",62,89,95,95,64,99
"241",84,100,100,91,86,100
"242",79,80,81,94,100,98
"243",70,96,100,96,100,100
"244",87,100,100,89,97,76
"245",82,95,100,53,96,94
"246",67,90,95,88,81,77
"247",79,48,93,92,98,92
"248",89,80,87,78,100,91
"249",90,83,100,60,100,93
"250",96,89,100,59,98,81
"251",92,74,100,58,99,98
"252",88,98,100,84,99,92
"253",85,93,100,70,98,97
"254",54,80,80,56,68,98
"255",75,95,94,83,100,86
"256",90,77,100,94,94,99
"257",54,58,56,60,56,72
"258",99,100,100,90,100,99
"259",57,89,100,51,84,98
"260",62,88,100,69,83,70
"261",56,81,84,85,68,100
"262",96,63,98,55,98,78
"263",91,100,100,83,100,99
"264",99,100,100,57,100,92
"265",72,95,98,89,94,92
"266",71,62,75,57,51,80
"267",79,100,100,50,98,83
"268",84,97,100,52,92,69
"269",63,68,85,92,83,99
"270",70,81,100,45,94,61
"271",65,86,91,79,84,76
"272",69,95,100,66,93,95
"273",64,56,64,84,82,90
"274",77,89,87,88,74,87
"275",82,80,100,71,74,68
"276",62,50,58,75,50,73
"277",89,100,100,50,100,79
"278",90,96,100,83,100,89
"279",84,74,100,80,99,97
"280",89,95,100,65,100,56
"281",94,92,100,84,100,100
"282",91,86,100,75,100,81
"283",96,96,100,76,100,100
"284",89,64,96,64,99,79
"285",70,80,97,51,98,78
"286",94,98,100,93,99,99
"287",83,98,100,78,88,75
"288",72,68,88,73,66,97
"289",74,34,32,85,91,65
"290",72,88,92,74,77,100
"291",63,77,100,83,95,100
"292",67,70,70,61,88,93
"293",80,65,44,70,62,93
"294",74,64,64,83,55,73
"295",93,95,100,98,96,100
"296",93,98,100,55,71,63
"297",53,78,82,49,62,85
"298",92,89,80,90,98,83
"299",97,93,100,74,100,97
"300",85,65,100,80,98,92
"301",96,81,100,64,98,90
"302",68,70,67,78,71,88
"303",67,71,65,70,67,58
"304",89,96,98,96,100,100
"305",66,56,87,79,61,68
"306",69,58,57,69,69,72
"307",60,71,54,81,64,98
"308",75,80,94,88,72,63
"309",88,83,94,73,96,97
"310",86,61,61,91,75,98
"311",74,100,100,82,88,98
"312",70,87,86,100,64,100
"313",95,98,100,92,95,100
"314",90,100,100,65,98,95
"315",81,80,100,76,75,72
"316",65,71,76,54,84,62
"317",61,75,84,95,65,99
"318",84,91,96,91,100,100
"319",70,68,89,53,87,84
"320",91,100,100,97,100,100
"321",80,60,76,89,97,59
"322",65,48,57,51,74,55
"323",62,69,71,59,54,63
"324",98,96,100,94,100,100
"325",66,58,61,51,87,70
"326",61,51,52,88,79,96
"327",66,85,87,77,95,99
"328",61,70,53,95,71,99
"329",54,86,86,61,86,47
"330",67,95,97,77,87,77
"331",96,89,100,90,100,100
"332",70,36,52,69,100,63
"333",47,40,59,58,74,90
"334",62,92,96,64,83,64
"335",61,98,100,87,55,75
"336",87,72,100,87,98,60
"337",70,71,100,74,74,98
"338",80,73,100,80,91,99
"339",91,100,100,94,99,99
"340",95,78,100,71,100,99
"341",94,94,100,92,99,100
"342",90,96,100,83,100,89
"343",89,100,100,95,99,100
"344",98,97,100,85,99,98
"345",94,100,100,69,72,82
"346",73,52,81,79,98,53
"347",80,96,100,61,98,97
"348",61,91,91,69,91,55
"349",85,100,40,98,94,100
"350",80,62,100,70,70,63
"351",97,92,100,94,100,100
"352",76,85,100,82,100,100
"353",69,78,100,59,74,84
"354",86,98,100,89,97,98
"355",94,96,100,66,99,97
"356",76,94,95,87,79,95
"357",96,52,100,51,94,57
"358",58,66,77,96,94,98
